TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:49:54.4457,Cube (8),3.1000,0.8117,-1.1381,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6400,0.8000,4.2080,1.4397,-0.1140,-0.0804,0.8883,-0.2098,-0.4005
2025-06-04_20:49:54.4572,Cube (8),3.1000,0.8233,-1.0634,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4096,0.5120,4.2058,1.4393,-0.1121,-0.0819,0.8806,-0.2126,-0.4154
2025-06-04_20:49:54.4674,Cube (8),3.1000,0.8370,-0.9936,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3277,0.4096,4.2035,1.4385,-0.1103,-0.0802,0.8732,-0.2155,-0.4297
2025-06-04_20:49:54.4789,Cube (8),3.1000,0.8395,-0.9495,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3277,0.4096,4.2022,1.4379,-0.1090,-0.0841,0.8673,-0.2173,-0.4398
2025-06-04_20:49:54.4900,Cube (8),3.1000,0.8447,-0.8861,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.3776,0.4745,4.2001,1.4372,-0.1069,-0.0883,0.8586,-0.2200,-0.4546
2025-06-04_20:49:54.5054,Cube (8),3.1000,0.8471,-0.8251,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4865,0.5911,4.1981,1.4365,-0.1047,-0.0929,0.8493,-0.2230,-0.4694
2025-06-04_20:49:54.5237,Cube (8),3.1000,0.8527,-0.7081,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5390,0.6728,4.1943,1.4346,-0.1002,-0.0977,0.8298,-0.2302,-0.4988
2025-06-04_20:49:54.5344,Cube (8),3.1000,0.8943,-0.5243,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5390,0.6728,4.1926,1.4339,-0.0975,-0.0898,0.8219,-0.2353,-0.5108
2025-06-04_20:49:54.5455,Cube (8),3.1000,0.9816,-0.2084,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7590,0.7383,4.1911,1.4332,-0.0952,-0.0929,0.8125,-0.2384,-0.5239
2025-06-04_20:49:54.5567,Cube (8),3.1000,0.9668,-0.1689,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7590,0.7383,4.1895,1.4325,-0.0930,-0.1041,0.8018,-0.2388,-0.5379
2025-06-04_20:49:54.5683,Cube (8),3.1000,0.9711,-0.1346,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7590,0.7383,4.1881,1.4317,-0.0909,-0.1013,0.7933,-0.2427,-0.5491
2025-06-04_20:49:54.5790,Cube (8),3.1000,0.9998,-0.0301,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7683,0.8660,4.1868,1.4310,-0.0887,-0.0997,0.7850,-0.2458,-0.5598
2025-06-04_20:49:54.5895,Cube (8),3.1000,1.0000,0.0377,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7683,0.8660,4.1850,1.4301,-0.0860,-0.1013,0.7730,-0.2493,-0.5745
